code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,total_clicks,avg_assessment_score
AAA,2013J,11391,1,0,1,10,2,0,240,0,2,934.0,82.0
AAA,2013J,28400,0,6,1,3,1,0,60,0,2,1435.0,66.4
AAA,2013J,30268,0,5,0,4,1,0,60,1,3,281.0,72.82803689390448
AAA,2013J,31604,0,7,0,6,1,0,60,0,2,2158.0,76.0
AAA,2013J,32885,0,11,2,6,0,0,60,0,2,1034.0,54.4
AAA,2013J,38053,1,10,0,9,1,0,60,0,2,2445.0,68.0
AAA,2013J,45462,1,6,1,4,0,0,60,0,2,1492.0,68.0
AAA,2013J,45642,0,5,0,10,0,0,120,0,2,1428.0,72.4
AAA,2013J,52130,0,0,0,8,0,0,90,0,2,1894.0,71.4
AAA,2013J,53025,1,4,4,0,2,0,60,0,2,3158.0,78.0
AAA,2013J,57506,1,8,2,8,1,0,60,0,2,1319.0,74.0
AAA,2013J,58873,0,0,0,3,0,0,60,0,2,1732.0,73.2
AAA,2013J,59185,1,0,2,7,1,0,60,0,2,1102.0,78.6
AAA,2013J,62155,0,5,1,6,0,0,60,0,2,3388.0,76.0
AAA,2013J,63400,1,6,2,5,1,0,60,0,2,2737.0,71.6
AAA,2013J,65002,0,0,0,8,0,0,60,0,3,176.0,67.0
AAA,2013J,70464,0,11,0,7,1,0,60,0,2,1053.0,55.6
AAA,2013J,71361,1,2,1,0,1,0,60,0,2,2327.0,80.4
AAA,2013J,74372,1,0,0,2,1,0,150,0,1,116.0,48.5
AAA,2013J,75091,1,9,0,4,1,0,60,0,2,2992.0,66.0
AAA,2013J,77367,1,1,0,4,0,0,60,0,2,680.0,70.4
AAA,2013J,91265,1,5,1,1,0,0,60,0,2,1494.0,70.8
AAA,2013J,94961,1,8,2,8,1,0,60,0,3,1240.0,65.33333333333333
AAA,2013J,98094,1,10,2,8,1,0,60,0,2,2839.0,60.6
AAA,2013J,100893,1,12,0,3,0,0,60,0,2,744.0,68.4
AAA,2013J,101781,1,8,2,9,1,0,60,0,2,4104.0,72.6
AAA,2013J,102806,1,5,0,4,0,0,60,0,2,1944.0,78.0
AAA,2013J,102952,1,3,1,7,0,0,60,0,2,1150.0,76.6
AAA,2013J,104476,1,2,4,0,1,0,60,0,2,4777.0,79.6
AAA,2013J,106247,1,8,1,9,1,0,60,0,3,465.0,60.0
AAA,2013J,106577,1,1,2,3,0,0,60,0,2,733.0,53.4
AAA,2013J,110175,1,0,1,9,1,0,60,0,2,998.0,63.4
AAA,2013J,111717,0,0,1,10,1,0,60,0,2,2343.0,81.0
AAA,2013J,113295,1,12,2,7,1,0,60,0,2,3553.0,77.6
AAA,2013J,114017,0,4,4,0,1,0,60,0,2,757.0,71.8
AAA,2013J,114999,1,12,1,7,1,0,60,0,2,1358.0,72.8
AAA,2013J,116541,1,10,1,1,0,0,60,0,2,1886.0,62.4
AAA,2013J,116692,1,0,0,8,1,0,60,0,2,1108.0,74.2
AAA,2013J,118983,1,1,1,4,0,0,120,0,2,284.0,61.8
AAA,2013J,123044,1,8,0,5,1,0,60,0,2,2041.0,71.4
AAA,2013J,127582,0,1,0,5,0,0,180,0,2,1321.0,69.6
AAA,2013J,129955,1,11,0,6,0,0,60,0,3,1888.0,81.0
AAA,2013J,132976,0,0,2,9,1,0,120,0,2,520.0,67.4
AAA,2013J,134143,0,7,0,10,1,0,60,0,0,2732.0,84.4
AAA,2013J,135335,0,0,2,3,0,0,180,0,3,73.0,72.82803689390448
AAA,2013J,135400,0,7,2,10,1,0,60,1,3,610.0,53.142857142857146
AAA,2013J,137873,1,9,0,5,1,0,60,0,2,5528.0,80.2
AAA,2013J,141355,0,1,0,4,0,0,240,0,2,1823.0,72.6
AAA,2013J,141377,1,9,0,10,0,0,345,0,3,756.0,48.833333333333336
